    NM,   NI, NTF, NFC, NFQ,  AP,  CP,  P1,  P2,  P3,  EE,  AG, NTI, NDC, CN
999999,52181,   7,   2,   4, 141, 512,   2,   1,   2,   1, 113,   7,   5, 57676
999999,52182,   6,   2,   3, 150, 517,   3,   0,   3,   0, 124,   6,   5, 12226
999999,52183,   7,   0,   6, 135, 524,   3,   4,   0,   2, 115,   7,   5, 49384
999999,52184,   5,   2,   2, 125, 554,   1,   0,   2,   2, 118,   8,   4, 3464
999999,52185,   7,   2,   4, 121, 493,   1,   3,   2,   1, 131,   6,   3, 711
999999,52186,   7,   2,   4, 139, 497,   2,   1,   2,   1, 142,   7,   5, 86611
999999,52187,   5,   1,   3, 124, 493,   1,   1,   1,   0, 124,   8,   5, 43756
999999,52188,   5,   1,   3, 136, 469,   2,   0,   1,   2, 134,   8,   5, 45221
999999,52189,   7,   2,   4, 141, 499,   2,   1,   3,   1, 133,   7,   3, 843
999999,52190,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 566511
999999,52191,   7,   2,   4, 142, 522,   1,   2,   2,   1, 115,   8,   3, 334
999999,52192,   7,   1,   5, 136, 510,   4,   1,   1,   1, 124,   7,   4, 1664
999999,52193,   7,   1,   5, 139, 447,   2,   2,   1,   2, 145,   7,   5, 19561
999999,52194,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 103145
999999,52195,   7,   1,   5, 122, 502,   2,   3,   1,   1, 123,   6,   6, 868670
999999,52196,   8,   2,   5, 138, 519,   3,   3,   2,   2, 135,   5,   6, 638706
999999,52197,   8,   1,   6, 146, 499,   4,   2,   1,   1, 127,   6,   6, 241712
999999,52198,   8,   1,   6, 121, 502,   4,   2,   1,   1, 139,   7,   5, 66353
999999,52199,   6,   2,   3, 130, 474,   1,   1,   2,   0, 146,   9,   5, 42142
